,구분,기업명,대표자,설립년도,업종,업태,시설원예,한우,낙농,육우,양돈,양계,오리,사슴,양봉,곤충,말,제조(도매),제조(소매),"수입(제조, 도매)",수입(소매),국내(도매),국내(소매),정보통신공사 전문,우편번호,도로명 주소,지번주소,상세 주소,대표번호,FAX번호,E-MAIL,홈페이지,ICT 제품,일번 제품,총 원,관리직,연구기술직,영업직,AS가능인원
150,"시설원예, 축산",주식회사 대동온실,곽현규,20220329,금속구조물창호온실공사,"건설업,도매,소매",O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,O,O,X,59522,전라남도 고흥군 포두면 해창로 1316,전라남도 고흥군 포두면 상포리 302-7,주식회사 대동온실,0618353522,0618323237,3522kjs@daum.net,,"통합제어부,외부환경기기,내부환경기기,양액기",,2,1,0,1,2
151,시설원예,(주)오존에이드,홍명기,20140714,제조업,"제조업, 도소매, 서비스",O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,63243,제주특별자치도 제주시 제주대학로 102,제주특별자치도 제주시 아라일동 1 제주대학교,바이오융합센터2호관 201-1호,0647580968,0647570968,ihaveadream@ozonaid.com,www.ozonaid.com,"센서, 게이트웨이, 소프트웨어",농산물 신선도 유지장치,7,1,4,2,3
152,"시설원예, 축산",(주)케이비글로벌미디어,김영찬,20150908,정보통신공사업,건설업,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,O,O,11415,경기도 양주시 광적면 백은로 485-1,경기도 양주시 광적면 가납리 245-88,1층 전체,16441758,07082338001,fomnet1@naver.com,globalcctv.kr,정보통신공사전문,,4,3,0,1,1
153,"시설원예, 축산",한국비엔씨,김성귀,20150901,동력분무기.방제기.농.축산업용기계,제조업.도소매,O,O,O,O,O,O,X,X,X,X,X,O,O,X,X,O,O,X,10826,경기도 파주시 법원읍 사임당로908번길 41,경기도 파주시 법원읍 법원리 422-13,지하증,0319588209,0319588201,bnc5341@naver.com,www.bnc53.com,안개분무.방제기.유동펜.제습기.양액기.동력분무기.고압세척기.농축산기계,,2,1,0,1,1
154,시설원예,맘꽃가든,변종기,20200228,"소프트웨어 개발, 농업자재 개발",정보통신업 소매업,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,63169,제주특별자치도 제주시 중앙로14길 21,제주특별자치도 제주시 삼도이동 154,"창업보육센터, 402호",01075122966,0647472967,mfgarden@naver.com,www.slower.biz,클라우드형 스마트팜, 입식 재배 시설 및 부품,3,1,2,0,2
155,시설원예,주식회사 한가람포닉스,김학선,20091001,"금속구조및창호공사, 온실시공, 양액시스템","건설업, 제조업",O,X,X,X,X,X,X,X,X,X,X,O,O,O,O,O,O,X,37238,경상북도 상주시 아리랑로 10-6,경상북도 상주시 복룡동 208,(복룡동),0545310433,0545310435,hpc2000@naver.com,hponics.co.kr,"온실 양액시스템,  환경제어시스템",온실 자재,8,2,5,1,4
156,"시설원예, 축산",광명TECH,박종구,19960601,"기계설비공사, 자동제어장치, 수리","건설업, 제조,서비스",O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,O,X,51523,경상남도 창원시 성산구 중앙대로 37,경상남도 창원시 성산구 중앙동 101-1 경남오피스텔,710호,0552643221,0552878133,kmeng@korea.com,,DDC 및 HMI,,11,3,4,4,3
157,"시설원예, 축산",지엔원에너지(주),최근화,20170420,냉난방 공조 기계설비,"건설업,제조업",O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,14056,경기도 안양시 동안구 학의로 268,경기도 안양시 동안구 관양동 799 메가밸리,안양메가밸리 809호,0314204677,0314204678,yhbang@genone.co.kr,www.genone.co.kr,스마트 온도제어형 냉난방장치,,41,10,10,21,2
158,시설원예,농업회사법인(주)편농,박성규,20180305,제조 및 개발업,자동제어스마트팜시스템,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,08500,서울특별시 금천구 가산디지털2로 173,서울특별시 금천구 가산동 459-23 에이스 비즈포레 지식산업센터,905호,0269490269,0260208662,skpark@pyeonnong.com,www.pyeonnong.com,자동제어스마트팜시스템,농산물 전문 온라인쇼핑몰,5,1,2,2,1
159,"시설원예, 축산",알에스티,정진영,20070815,전자부품외,제조업외,O,O,O,O,O,O,O,O,O,O,X,O,O,X,X,X,X,X,55315,전라북도 완주군 봉동읍 완주산단6로 224,전라북도 완주군 봉동읍 둔산리 864-9 (재)전북테크노파크 전북과학기술진흥센터,창조관 342호,01044501875,05044701875,run431@hanmail.net,,13종 센서,"의료용센서, led센서",5,1,3,1,2
160,시설원예,(주)동양기업,박근민,19991026,"온실설치공사,농자재및원예자재,부동산임대업","건설,도소매,부동산업",O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,58212,전라남도 나주시 산포면 구등길 34-36,전라남도 나주시 산포면 등정리 69-4,34-36,0613373376,0613319376,dy3373376@naver.com,,"금속구조물,창호,온실공사업",,5,5,0,0,3
161,"시설원예, 축산",이노네트웍스 주식회사,이남곤,20100805,정보통신공사,건설업,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,55051,전라북도 전주시 완산구 신봉로 7,전라북도 전주시 완산구 효자동1가 620-12,이노네트웍스 주식회사,0632240046,0632250047,inno0030@naver.com,,정보통신공사 전문,CCTV 도소매,7,2,2,3,11
162,"시설원예, 축산",주식회사 올센싱,한만욱,20181008,"통신장비제조업,전자부품","제조업,도매및소매업",O,O,O,O,O,O,O,O,O,O,X,O,O,O,X,X,X,X,17095,경기도 용인시 기흥구 중부대로 184,경기도 용인시 기흥구 영덕동 1315 힉스유타워,"A2214 (영덕동, 힉스유타워)",07042854020,0262807851,hanmanuk@allsensing.com,www.allsensing.com,"온습도프로브, 온습도,CO2트랜스미터 외",,5,1,3,1,2
163,시설원예,(주)드라이콤,이길호,20210930,"농기계제조,전기식이미용품","제조,도매,소매",O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,15102,경기도 시흥시 군자천로21번길 40,경기도 시흥시 정왕동 2176-9 성호특수고무,시화공단 2바 607-1호,0314980883,0314980884,lgh215@hanmail.net,,"RS-485통신 기반 센서노드 (온도,습도,이산화탄소) 및 제어 시스템",,1,0,1,0,1
164,"시설원예, 축산",상주건설,고봉석외1인,20010622,건설업 도매및소매업,"금속구조물창호공사,축사시공",O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,O,O,X,37160,경상북도 상주시 북상주로 63,경상북도 상주시 만산동 217,상주건설,0545330404,0545330104,sj5330404@naver.com,,"환경제어시스템,온실양액시스템,스마트팜온실",,5,3,1,1,3
165,"시설원예, 축산",에스이디(주),김건형,19981101,냉난방공조,제조업,O,O,O,O,O,O,O,O,O,O,X,O,O,O,X,X,X,X,41947,대구광역시 중구 국채보상로150길 89,대구광역시 중구 삼덕동3가 212-1 삼덕빌라,202호,0533841290,0533841294,samsung1290@hanmail.net,http://samsungac.net,온습도 조절장치,"기계설비, 냉난방시설공조",5,2,2,1,3
166,"시설원예, 축산",케이디솔루션(주),이인규,20210903,"제조업,도소매",그외기타특수목적용기계제조업,O,O,O,O,O,O,O,O,O,O,X,O,O,X,X,O,O,X,10403,경기도 고양시 일산동구 정발산로 24,경기도 고양시 일산동구 장항동 868 웨스턴돔2,"716호, 웨스턴타워 3차",0319014493,0319014494,kds8259@kdsolution.kr,,화재 써지 제로 컷,,3,1,1,1,2
167,시설원예,(주)스페이스빌더스,정찬일,20160202,서비스/제조업/도매 및 소매업,서비스/제조업/도매 및 소매업,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,61008,광주광역시 북구 첨단과기로 313,광주광역시 북구 대촌동 958-14,"광주하이테크센터 B동 B201호, B607호",07086763099,07086203099,space1990@spacebuilders.co.kr,http://spacebuilders.co.kr/,"환경수집센서, CCTV",,14,5,6,3,3
168,시설원예,새길,김관록,20170309,"농업용기자재,스마트팜,농산물설치공사등","건설,도,소매",O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,32973,충청남도 논산시 계백로1146번길 6-33,충청남도 논산시 지산동 140-2,지산동140-2,0417333945,0417333946,kd14558@hanmail.net,,"스마트팜양액기,보온커튼,개폐기,농업용기자재등","스마트팜양액기,보온커튼,개폐기,농업용기자재등",1,1,0,0,2
169,시설원예,(주)효신,송택번,19920623,전기 기기 및 밸브,제조업,O,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,14521,경기도 부천시 부천로 323,경기도 부천시 도당동 95-2 y-제니스 파크,305호,0326786200,0326726401,info@hyoshin.co.kr,www.hyoshin.co.kr,하우스용 구동기,"관개관수용 자동 밸브, 수압조절 밸브, 액비용 솔레노이드 밸브, 유량계, 여과기 등",24,17,2,5,3
170,시설원예,우리팜,"이수천,남종명",20220616,농업및임업기계제조업,스마트팜,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,10090,경기도 김포시 태장로795번길 23,경기도 김포시 장기동 2083-6,"521호(장기동,마스터비즈파크)",01033770936,05044312513,soogeun@hanmail.net,,복합환경제어기기(연동),,2,2,0,0,2
171,"시설원예, 축산",주식회사 교린,이문숙,20171012,"플라스틱 소재, 기능성 필름","제조업, 농업, 도소매",O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,O,O,X,14048,경기도 안양시 동안구 시민대로 167,경기도 안양시 동안구 비산동 1107-1 안양벤처텔,812호,0313428919,07076143869,yohan8807@bizmeka.com,,"메인컨트롤러, 센서노드, 환경센서",면상발열체(농업용 난방기),5,2,1,2,1
172,"시설원예, 축산",주식회사 성호에스아이코퍼레이션,김지현,20201019,농립업용기계,도매 및 소매업,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,14548,경기도 부천시 길주로 276,경기도 부천시 중동 1141-1 무광오피스빌딩,1104호,0323256629,0323266629,tax_shcorp@naver.com,www.sunghocorp.com,"시설원예 스마트팜, 과수노지 스마트팜, 용존산소시스템, 예냉시스템","산업용키오스크, 스마트보안등",3,1,1,1,2
173,시설원예,(주)청호시스템,박남용,20010315,자동화기계제조,제조,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,34051,대전광역시 유성구 엑스포로 413,대전광역시 유성구 문지동 103-33,A동,0429331193,0429341195,dragon7890@hanmail.net,http://www.chsystem.co.kr/,복합환경제어시스템,,10,2,7,1,5
174,시설원예,(주)마루에너지,김동훈,20150203,스마트팜 시스템,제조업,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,37240,경상북도 상주시 헌신1길 25-6,경상북도 상주시 헌신동 365,1층,0539652750,0539652751,imm2000@naver.com,www.comgrow.kr,건습구 복합센서,건습구센서 / 환경제어기 / 관수시스템,2,0,1,1,2
175,"시설원예, 축산",(주)통해,전용일,20000925,"전기공사,정보통신공사,소방공사,태양광","건설,서비스",O,O,O,O,O,O,O,O,O,O,X,X,X,X,O,O,O,O,05854,서울특별시 송파구 법원로 128,서울특별시 송파구 문정동 642-3 문정에스케이브이원지엘메트로시티,"C동 911호(문정동,SK V1지엘메트로시티)",0220438111,0220437111,tonghae01@hanmail.net,,"센서노드(온습도, CO2)",,10,4,3,3,3
176,시설원예,주식회사 럭스로보,이대환,20141114,시스템소프트웨어개발및공급업,"제조업, 서비스업",O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,06628,서울특별시 서초구 강남대로 311,서울특별시 서초구 서초동 1338-12 한화생명보험빌딩,13층,+8210665674,025202592,ryan.park@luxrobo.com,,"MODI, 캐롯플러그",,91,33,34,24,6
177,시설원예,(주)신라이앤씨,김용호,20080611,"통신공사,소프트웨어개발","건설업,제조업,서비스",O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,41059,대구광역시 동구 매여로1길 37-12,대구광역시 동구 상매동 515-4,2층,0532433117,0539396997,sillaboss@sillaenc.co.kr,www.sillaenc.co.kr,복합환경제어기,,19,12,4,3,2
178,시설원예,농업회사법인주식회사그린,권기표,20160930,작물재배 지원 서비스업,"농업, 임업 및 어업",O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,10121,경기도 김포시 고촌읍 상미로9번길 51-5,경기도 김포시 고촌읍 향산리 881-8,농업회사법인 주식회사 그린,0319864643,01066506755,contact@griin.co,https://www.griin.co/,배양액자동공급기,,14,10,4,0,2
179,"시설원예, 축산",(주)싸인텔레콤,박영기,19890123,전자제품,제조업,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,07299,서울특별시 영등포구 경인로 775,서울특별시 영등포구 문래동3가 55-20 에이스하이테크시티,1동 119호,0234390033,0234390042,help@signtelecom,http://www.signtelecom.com,정보통신공사 전문,,138,74,54,10,41
180,"시설원예, 축산",우창정보기술(주),이광희,20140725,"소프트웨어개발,유선통신장비,컴퓨터관련제품","서비스,제조,도소매",O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,O,X,06781,서울특별시 서초구 언남16길 3,서울특별시 서초구 양재동 301-12 동신빌딩,3층,07076937500,0262175735,woochangit@woochangit.co.kr,www.woochangit.co.kr,"CCTV, 유선. 무선 네트워크, 네트워크 장비, 출입통제, 영상 감지, 화재감지",,7,1,5,1,4
181,시설원예,(주)코막스,김성영,20170707,일반 목적용 기계제조업 및 스마트팜 농기자재 하드웨어 제조업,제조업,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,51107,경상남도 창원시 의창구 북면 동전산단동로37번길 42,경상남도 창원시 의창구 북면 화천리 913-2,(주)코막스,0552950059,0552950058,comaxs2017@naver.com,,스마트팜 회전형 수직다단재배장치,자동화 설비 및 스마트팜 재배장치,4,1,2,1,2
182,"시설원예, 축산",(주)에버비젼,조광종,20030221,제조,소프트웨어개발,O,O,O,O,O,O,O,O,O,O,X,O,O,X,X,O,O,X,10550,경기도 고양시 덕양구 삼원로 51,경기도 고양시 덕양구 원흥동 702,원흥줌하이필드 517호,07086687949,03033130761,jkj@evervision.co.kr,www.evervision.co.kr,ICT 스마트 팜 통합제어기 (ICT 스마트 동보&기상 융합장치),"CCTV,보안용카메라",4,1,2,1,2
183,"시설원예, 축산",(주)담우광학전자기술,강동원,20170614,제조,광학전자기기외,O,O,O,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,61008,광주광역시 북구 첨단과기로 313,광주광역시 북구 대촌동 958-14,하이테크센터 A동 302호,01095524407,0629720813,kdamwoo@naver.com,없음,"스마트팜 센서, 원격관리 바닥신호등, 영상인식 치패계수기, 스마트가로등",해당없음,4,1,2,1,4
184,"시설원예, 축산",주식회사 트렌드팜,이기중,20200803,"농업용기계 및 농축산 아이씨티장비,농자재",제조업.도소매업,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,X,33148,충청남도 부여군 부여읍 흑천로 21,충청남도 부여군 부여읍 쌍북리 612-6,,0418341008,0418339767,lkj1722@naver.com,,"단순환경제어시스템,복합환경제어시스템",,5,2,2,1,2
185,"시설원예, 축산",대망네트워크,전대운,20160510,"소매,서비스",컴퓨터 및 주변장치,O,O,O,X,O,O,O,X,X,X,X,X,X,X,O,O,O,X,59004,전라남도 해남군 문내면 우수영로 10-12,전라남도 해남군 문내면 동외리 859-5 오성포장,1층 대망네트워크,01042254822,0615353716,jdy3716@nate.com,https://dmnetwork.modoo.at/,출입통제   승강  축산관련 자동화,녹화기 카메라 모니터 ,1,1,0,0,0
186,시설원예,에스지이엔지(주),김경환,19860720,"서비스,건설업,서비스업","전기설계/감리업,전기공사업,학술연구용역",O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,58217,전라남도 나주시 빛가람로 685,전라남도 나주시 빛가람동 192-3,비전타워 906호,0613341200,0613341203,sg@sungang.co.kr,www.sungang.co.kr,"센서노드,센서",,10,1,8,1,2
187,시설원예,(주)트리톤넷,강성용,20180115,유/무선통신장치 외,제조업 외,O,X,X,X,X,X,X,X,X,X,X,O,O,O,O,O,O,X,13207,경기도 성남시 중원구 사기막골로 124,경기도 성남시 중원구 상대원동 190-1 SKn테크노파크,SKn테크노파크 비즈동 4층 405호,0317763400,0317763401,ksybluest@gmail.com,,데이터로거,,10,2,6,2,2
188,"시설원예, 축산",(주)씨엔아이,진종호,20121207,제조업,정밀기기측정기외,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,O,X,51012,경상남도 김해시 대청로26번안길 25-8,경상남도 김해시 관동동 471-9,건물 1층,07050250089,000000000,cni0089@naver.com,http://www.oeuncni.com/,아크 서지보호기,,4,0,3,1,2
189,"시설원예, 축산",(주)로그인서광,장지원,19961202,"통신공사,CCTV설치,전기공사,통신기기판매,정보처리 및 소프트웨어개발","건설업,도소매,서비스업",O,O,O,O,O,O,O,O,O,O,X,O,O,X,X,O,O,O,58227,전라남도 나주시 남평읍 남평2로 38-2,전라남도 나주시 남평읍 대교리 7-8 남평양화정,2층,0622269900,0622265208,skm1996@hanmail.net,www.skmdct.com,"정보통신공사 전문, ICT융복합제어시스템,축산방역장비,농축산기자재","스마트팩토리,스마트팜 센서노드,기타제어기기",50,8,39,3,5
190,시설원예,웨코,박하규,20150501,반도체및평판디스플레이장치 판매및 개발,제조업,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,31416,충청남도 아산시 음봉면 월산로 128-113,충청남도 아산시 음봉면 산동리 664-24,웨코,0415413221,0416413227,hwanggb@weco.or.kr,,"센서노드, 구동기 노드",,19,13,4,2,5
191,시설원예,(주)현태,장현수,20110308,제조/도소매/서비스업,"자동제어,전기전자 외",O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,27872,충청북도 진천군 덕산읍 정통로 9,충청북도 진천군 덕산읍 두촌리 2608 충북테크노파크태양광기술센터,214호 215호,0432331803,043232,hsoojjang@daum.net,http://hyuntai.co.kr,IoT 기반 화재경고 솔루션 외,스마트팜제어반,8,2,3,3,1
192,"시설원예, 축산",코리아디지탈(주),김종빈,19971101,"제조, 도매 및 소매업","전자기기, 전가 및 교육기기",O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,08381,서울특별시 구로구 디지털로 273,서울특별시 구로구 구로동 212-30 에이스트윈타워2차,804호,0221098877,0221098878,yohan8807@naver.com,www.koreadigital.com,"복합환경제어 시스템(메인컨트롤러, 센서노드, 센서, 기상장비 등)","MBL 과학용 실험 기기, OEM 제품",0,23,15,8,2
193,"시설원예, 축산",주식회사 현승이엔씨,박진옥,20190901,"제조업,도매및소매업,정보통신공사업,기타무선통신장비제조업 등..","정보통신업,건설업,제조업,도매및소매업,서비스업,협회및단체,수리및기타서비스업",O,O,O,O,O,O,O,O,O,O,X,O,O,X,X,O,O,X,27843,충청북도 진천군 진천읍 장수로 172-4,충청북도 진천군 진천읍 장관리 585-7,(장관리),0432852850,0432367284,hyenc1@naver.com,,0,CCTV,9,1,6,2,2
194,시설원예,두원글로벌,김수희,20210215,"제조,도소매업","제조,도소매업",O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,54853,전라북도 전주시 덕진구 반룡로 109,전라북도 전주시 덕진구 팔복동2가 824 테크노빌,테크노빌 B동 101~103호,0632148556,0632148557,contact@doowonglobal.com,,"스마트팜 센서노드,스마트팜 DAQ",,4,1,2,1,1
195,"시설원예, 축산",주식회사 하나정보통신,안재현,19931220,정보통신공사업,전기통신공사,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,57500,전라남도 곡성군 옥과면 율사길 34-3,전라남도 곡성군 옥과면 율사리 427-7,,0625114510,0625114512,ajh2009@daum.net,,정보통신공사전문,"CCTV, NVR, DVR, 음향기기, 주차관제",2,1,0,1,3
196,"시설원예, 축산",대원이엔지(주),김일주,20081223,건설업,정보통신공사업,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,57219,전라남도 장성군 장성읍 매화6길 47-1,전라남도 장성군 장성읍 영천리 1085-1,,0622648788,0622648789,dy6682@hanmail.net,,정보통신공사 전문,,4,2,0,2,4
197,"시설원예, 축산",주식회사 에스디포,박성희,20210210,"건설업,서비스업, 제조업","정보통신공사, 전기 및 통신장치 제조",O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,O,X,26462,강원도 원주시 황금로 2,강원도 원주시 반곡동 1903-3,센트럴파크원 5층 420호,0337356301,0337356303,shpark@sdfor.co.kr,,"통합제어기, 악취측정장치, 착유기, 자동급이기","CCTV,  녹화장비(DVR+모니터), Co2 센서 등 각종 센서류, 통합판넬(제어판넬)",6,2,2,2,2
198,시설원예,엔에스우성하이텍,피경숙,20140707,"제조업,도소매,농업용기계,제조측량기구","제조,도소매",O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,32901,충청남도 논산시 노성면 장마루로 905,충청남도 논산시 노성면 효죽리 88,충남 논산시 노성면 효죽리 88,0417336569,0417336560,kwanil98@hanmail.net,,"팜시스,복합환경제어,동력시비기","환풍기,자동개폐기 기타",2,1,0,1,2
199,"시설원예, 축산",(주)광진기업,이동시,19990202,"농자재,온실설치업,정보통신공사업","제조업,건설업,도소매",O,O,X,X,O,O,X,X,X,X,X,O,O,O,X,O,O,X,36744,경상북도 안동시 공단로 16,경상북도 안동시 수상동 820-50,팜마트,0548212244,0548212114,csy0356@hanmail.net,www.gjagro.co.kr,정보통신공사전문,"유해동물퇴치기, 유해동물포획장, 스마트팜 솔루션",31,4,11,16,4
200,"시설원예, 축산",주식회사아이원코리아,김현태,20070331,"자동제어기기, 주차관제장치 외",제조업 외,O,O,O,O,O,O,O,O,O,O,X,O,O,X,X,X,X,X,12048,경기도 남양주시 오남읍 양지로139번길 23-16,경기도 남양주시 오남읍 오남리 840-9 광진조명,마동,0315759590,07075470000,i1.korea@daum.net,i-onekorea.net,"차량번호인식기,CCTV","주차차단기, 무인정산기",18,12,2,4,5
201,시설원예,우성온실시스템,남윤근,20171204,"농업용 자재 및 제어기기,농업용 제어기기","	 도매업,제조업,소매업",O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,28185,충청북도 청주시 서원구 남이면 청남로 1073-8,충청북도 청주시 서원구 남이면 외천리 457-2,우성온실시스템,0432874076,0432874077,skadbsrms1@naver.com,,"팜시스,웰시스",,3,1,1,1,2
202,"시설원예, 축산",대성하이원(주),이철호,19880801,"제조업, 도매","넹,난방기기 외",O,O,O,O,O,O,O,O,O,O,X,O,O,X,X,X,X,X,18578,경기도 화성시 팔탄면 버들로1318번길 12-11,경기도 화성시 팔탄면 서근리 200-4,대성하이원(주),0313586789,0313587035,ds-100@hanmail.net,http://www.daesungheater.co.kr,산업용 에어컨,산업용 에어컨,13,8,2,3,3
203,시설원예,(유)금화이엔에스,서해근,20080811,"제조업, 건설업","전기판넬, 배전반 및 자동제어반, 유무선원격장치, 전기공사업, 정보통신공사업 등",O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,57331,전라남도 담양군 대전면 응기길 34-9,전라남도 담양군 대전면 응용리 138,(유)금화이엔에스,0613813516,0613813519,seohg@helpkw.com,http://www.kumwhaens.com/,온실용 복합환경제어기,,11,2,5,4,2
204,"시설원예, 축산",휴미템,박지성,20150701,제조업,농축산기기,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,O,37243,경상북도 상주시 서곡1길 21,경상북도 상주시 서곡동 135-2,휴미템,0545352047,0545352046,humitem@humitem.com,www.humitem.com,"환경관리기, 환기팬",,6,2,4,0,3
205,"시설원예, 축산",(주)엠티엠이엔티,진성기,20180921,소프트웨어개발,서비스업,O,O,O,O,O,O,O,O,O,O,X,O,O,X,X,O,O,X,02792,서울특별시 성북구 화랑로14길 5,서울특별시 성북구 하월곡동 39-1,"H-1동 982A호(하월곡동, 한국과학기술연구원)",0221325155,029745908,mtm@mtment.net,https://mtment.imweb.me/32,카푸(MES) 솔루션,카푸(MES) 솔루션,10,3,4,3,3
206,시설원예,청운온실농자재산업,이정희,20140701,온실설계시공업금속구조창호공사업,건설.도.소매,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,10510,경기도 고양시 덕양구 토당로 44,경기도 고양시 덕양구 토당동 855-6,1층,0319701324,0319714376,cwg1324@hanmail.net,,제닉스시스템ICT / 청오이엔지ICT,,,2,1,1,2
207,"시설원예, 축산",(주)우진코퍼레이션,손미향,20150102,"정보통신공사, CCTV, 구내방송장치, 소프트웨어개발, 통신기기, 전산,통신장비 유지보수","건설업, 제조업, 도매, 소매, 정보통신업, 서비스업",O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,21559,인천광역시 남동구 문화로133번길 18-2,인천광역시 남동구 구월동 1110-13,2층,0322146001,0322146002,tn1799@naver.com,,정보통신공사 전문,,8,4,2,2,2
208,시설원예,그린씨에스(주),배임성,20050321,온실환경제어시스템,제조업,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,57309,전라남도 담양군 담양읍 에코산단4로 7,전라남도 담양군 담양읍 삼만리 1292,그린씨에스(주),0623853030,0629719705,gcs3030@hanmail.net,http://gcsmagma.com/,"온실복합환경제어시스템(마그마, 마그마플러스), 양액기",,18,12,4,2,6
209,"시설원예, 축산",(주)한국더원,조미령,20220310,"고압세척기,동력분무기,농축산업용기계,방제기,스마트팜","제조업,도매,소매업",O,O,X,X,O,O,X,X,X,X,X,O,O,X,X,O,O,X,10826,경기도 파주시 법원읍 사임당로 822,경기도 파주시 법원읍 대능리 94-20,1층,0319588209,0319588201,bnc5341@naver.com,,안개분무.방제기.유동펜.제습기,,3,1,1,1,2
210,"시설원예, 축산",월드정보통신(주),박만희,20040422,제조외,CCTV외,O,O,O,O,O,O,O,O,O,O,X,O,O,X,X,O,O,O,35275,대전광역시 서구 계룡로 318,대전광역시 서구 갈마동 274-4,월드빌딩 3층,0424821472,0424721472,worldit@hanmail.net,,정보통신공사 전문,,10,2,5,3,3
211,"시설원예, 축산",(주)보람,이상미,20191120,"정보통신공사, 시스템 소프트웨어 개발 및 공급업","건설업, 정보통신업",O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,31991,충청남도 서산시 한마음15로 63,충청남도 서산시 동문동 1007-29 드림빌,1층 101호,01064741853,0419202181,boram2171@naver.com,,"정보통신공사 전문, 일반환경제어, 복합환경제어, 발정탐지기 등",유해조수퇴치기 등,7,2,3,2,3
212,"시설원예, 축산",한성공업사,서원식,20001123,제조업,"농기구,농자재,자동화설치",O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X,39852,경상북도 칠곡군 가산면 천평5길 26,경상북도 칠곡군 가산면 천평리 152-1,1층,0549732298,0549722298,kic1969@nate.com,,복합환경제어기,,1,1,0,0,2
213,"시설원예, 축산",이레삼성정보통신,김신광,19980411,"컴퓨터,사무기기,가전,정보통신공사업","도,소매,정보통신공사업,제조업",O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,O,X,O,58656,전라남도 목포시 석현로 46,전라남도 목포시 석현동 1175,목포벤처지원센터 211호,0612838285,0612828287,irebiz@naver.com,,"컴퓨터,네트워크장비,서버,전광판,CCTV","가전,사무기기",5,1,2,2,3
214,시설원예,제이엑스미디어,김광출,20191028,농림업용 기계 장비 도매업,농림업용 기계 장비 도매업,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,62216,광주광역시 광산구 하남산단6번로 57,광주광역시 광산구 오선동 270-106,1206호,0627107447,0627107448,kkc0112@naver.com,,복합환경제어기,,1,1,0,0,2
215,시설원예,그린첨단온실,김화수,20140212,농자재,농자재 및 구조물 설치,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,32409,충청남도 예산군 덕산면 수덕사로 783-16,충청남도 예산군 덕산면 사천리 95,1층,01024173457,01024173457,rlaghktn32@naver.com,,복합환경제어기,,1,1,0,0,2
